13:56:55.648881 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1597, length 64
13:56:55.731572 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1597, length 64
13:56:56.658223 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1598, length 64
13:56:56.811808 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1598, length 64
13:56:57.667706 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1599, length 64
13:56:57.939268 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1599, length 64
13:56:58.677487 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1600, length 64
13:56:58.907756 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1600, length 64
13:56:59.686995 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1601, length 64
13:56:59.786606 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1601, length 64
13:57:00.696416 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1602, length 64
13:57:00.738961 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1602, length 64
13:57:01.706718 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1603, length 64
13:57:01.857094 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1603, length 64
13:57:02.251791 IP 192.168.15.130.netbios-ns > 192.168.15.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
13:57:02.716424 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1604, length 64
13:57:02.808966 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1604, length 64
13:57:03.725657 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1605, length 64
13:57:03.752074 IP 192.168.15.130.netbios-ns > 192.168.15.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
13:57:03.809046 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1605, length 64
13:57:04.735403 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1606, length 64
13:57:04.784950 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1606, length 64
13:57:05.252208 IP 192.168.15.130.netbios-ns > 192.168.15.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
13:57:05.745012 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1607, length 64
13:57:05.916001 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1607, length 64
13:57:06.210332 ARP, Request who-has 192.168.15.130 (Broadcast) tell 192.168.15.129, length 46
13:57:06.210800 ARP, Reply 192.168.15.130 is-at 00:0c:29:66:2d:38 (oui Unknown), length 46
13:57:06.411450 IP 192.168.15.129.39610 > 192.168.15.2.domain: 52926+ PTR? 130.15.168.192.in-addr.arpa. (45)
13:57:06.415896 IP 192.168.15.2.domain > 192.168.15.129.39610: 52926 NXDomain 0/0/0 (45)
13:57:06.416662 ARP, Request who-has 192.168.15.130 tell 192.168.15.129, length 46
13:57:06.416977 ARP, Reply 192.168.15.130 is-at 00:0c:29:66:2d:38 (oui Unknown), length 46
13:57:06.417246 IP 192.168.15.129.64613 > 192.168.15.130.1720: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.829489 IP 192.168.15.129.64613 > 192.168.15.130.1974: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.829542 IP 192.168.15.129.64613 > 192.168.15.130.3551: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.829593 IP 192.168.15.129.64613 > 192.168.15.130.3370: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.829649 IP 192.168.15.129.64613 > 192.168.15.130.1217: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.829705 IP 192.168.15.129.64613 > 192.168.15.130.5030: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.829755 IP 192.168.15.129.64613 > 192.168.15.130.32773: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.830012 IP 192.168.15.129.64613 > 192.168.15.130.1334: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.830218 IP 192.168.15.129.64613 > 192.168.15.130.3784: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.830460 IP 192.168.15.129.64613 > 192.168.15.130.2030: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.830615 IP 192.168.15.130.6547 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.830680 IP 192.168.15.130.50002 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.830733 IP 192.168.15.130.10621 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.830789 IP 192.168.15.130.1443 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.830848 IP 192.168.15.130.8651 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.830904 IP 192.168.15.130.5555 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.830961 IP 192.168.15.130.3168 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.831014 IP 192.168.15.130.55600 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.831070 IP 192.168.15.130.3325 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.831158 IP 192.168.15.130.1045 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.831217 IP 192.168.15.130.1082 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.831274 IP 192.168.15.130.19350 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.831331 IP 192.168.15.130.33899 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.831383 IP 192.168.15.130.1248 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.831440 IP 192.168.15.130.17877 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.831496 IP 192.168.15.130.3546 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.831558 IP 192.168.15.130.2522 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.831616 IP 192.168.15.130.1110 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.831673 IP 192.168.15.130.2875 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.831729 IP 192.168.15.130.1233 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.831785 IP 192.168.15.130.afs3-bos > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.831842 IP 192.168.15.130.5963 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.831899 IP 192.168.15.130.4 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.831959 IP 192.168.15.130.2525 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.832011 IP 192.168.15.130.9593 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.832063 IP 192.168.15.130.8873 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.832164 IP 192.168.15.130.48080 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.832224 IP 192.168.15.130.svn > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.832281 IP 192.168.15.130.10024 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.832338 IP 192.168.15.130.5544 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.832397 IP 192.168.15.130.bgp > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.832456 IP 192.168.15.130.7201 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.832520 IP 192.168.15.130.222 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.832578 IP 192.168.15.130.9290 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.832680 IP 192.168.15.129.64613 > 192.168.15.130.1083: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.832977 IP 192.168.15.130.kerberos > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.833106 IP 192.168.15.129.64613 > 192.168.15.130.8383: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.833196 IP 192.168.15.130.5825 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.833277 IP 192.168.15.130.280 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.833413 IP 192.168.15.130.49158 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.833479 IP 192.168.15.129.64613 > 192.168.15.130.1148: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.833623 IP 192.168.15.130.daytime > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.833781 IP 192.168.15.130.7435 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.833862 IP 192.168.15.130.30000 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.833961 IP 192.168.15.129.64613 > 192.168.15.130.1064: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.834054 IP 192.168.15.130.1974 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.834222 IP 192.168.15.130.3551 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.834417 IP 192.168.15.130.3370 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.834548 IP 192.168.15.130.1217 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.834725 IP 192.168.15.130.5030 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.834840 IP 192.168.15.130.32773 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.834925 IP 192.168.15.129.64613 > 192.168.15.130.sane-port: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.835024 IP 192.168.15.130.1334 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.835249 IP 192.168.15.130.3784 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.835318 IP 192.168.15.129.64613 > 192.168.15.130.kx: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.835467 IP 192.168.15.130.2030 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.836136 IP 192.168.15.130.1083 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.836304 IP 192.168.15.130.8383 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.836421 IP 192.168.15.129.64613 > 192.168.15.130.5988: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.836482 IP 192.168.15.129.64613 > 192.168.15.130.3809: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.836535 IP 192.168.15.129.64613 > 192.168.15.130.3527: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.836591 IP 192.168.15.129.64613 > 192.168.15.130.2103: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.836644 IP 192.168.15.129.64613 > 192.168.15.130.999: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.836702 IP 192.168.15.129.64613 > 192.168.15.130.32781: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.836760 IP 192.168.15.129.64613 > 192.168.15.130.vopied: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.836818 IP 192.168.15.129.64613 > 192.168.15.130.20222: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.836875 IP 192.168.15.129.64613 > 192.168.15.130.2002: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.836932 IP 192.168.15.129.64613 > 192.168.15.130.1041: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.837046 IP 192.168.15.130.1148 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.837469 IP 192.168.15.129.64613 > 192.168.15.130.458: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.837540 IP 192.168.15.129.64613 > 192.168.15.130.3367: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.838551 IP 192.168.15.129.64613 > 192.168.15.130.56737: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.838698 IP 192.168.15.129.64613 > 192.168.15.130.35500: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.839425 IP 192.168.15.129.64613 > 192.168.15.130.2035: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.840140 IP 192.168.15.129.64613 > 192.168.15.130.4550: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.840350 IP 192.168.15.129.64613 > 192.168.15.130.2382: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.840529 IP 192.168.15.129.64613 > 192.168.15.130.1132: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.840680 IP 192.168.15.129.64613 > 192.168.15.130.10215: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.840841 IP 192.168.15.129.64613 > 192.168.15.130.52869: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.840946 IP 192.168.15.129.64613 > 192.168.15.130.31337: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.841009 IP 192.168.15.129.64613 > 192.168.15.130.1071: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.841065 IP 192.168.15.129.64613 > 192.168.15.130.1971: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.841116 IP 192.168.15.129.64613 > 192.168.15.130.1114: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.841202 IP 192.168.15.129.64613 > 192.168.15.130.1037: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.841266 IP 192.168.15.129.64613 > 192.168.15.130.9485: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.841329 IP 192.168.15.129.64613 > 192.168.15.130.4045: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.841387 IP 192.168.15.129.64613 > 192.168.15.130.4002: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.841438 IP 192.168.15.129.64613 > 192.168.15.130.2179: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.841492 IP 192.168.15.129.64613 > 192.168.15.130.5298: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.841549 IP 192.168.15.129.64613 > 192.168.15.130.14000: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.841603 IP 192.168.15.129.64613 > 192.168.15.130.8899: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.841654 IP 192.168.15.129.64613 > 192.168.15.130.1049: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.841707 IP 192.168.15.129.64613 > 192.168.15.130.524: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.841770 IP 192.168.15.129.64613 > 192.168.15.130.425: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.841825 IP 192.168.15.129.64613 > 192.168.15.130.5054: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.841882 IP 192.168.15.129.64613 > 192.168.15.130.2106: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.841941 IP 192.168.15.129.64613 > 192.168.15.130.5922: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.841996 IP 192.168.15.129.64613 > 192.168.15.130.55555: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.842053 IP 192.168.15.129.64613 > 192.168.15.130.1666: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.842115 IP 192.168.15.129.64613 > 192.168.15.130.3268: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.842192 IP 192.168.15.129.64613 > 192.168.15.130.4449: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.842252 IP 192.168.15.129.64613 > 192.168.15.130.2040: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.842303 IP 192.168.15.129.64613 > 192.168.15.130.1043: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.842417 IP 192.168.15.130.1064 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.842476 IP 192.168.15.130.sane-port > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.842528 IP 192.168.15.130.kx > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.842636 IP 192.168.15.130.5988 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.842751 IP 192.168.15.130.3809 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.842841 IP 192.168.15.130.3527 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.842905 IP 192.168.15.130.2103 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.842961 IP 192.168.15.130.999 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.843017 IP 192.168.15.130.32781 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.843084 IP 192.168.15.130.vopied > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.843141 IP 192.168.15.130.20222 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.843201 IP 192.168.15.130.2002 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.843260 IP 192.168.15.130.1041 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.843318 IP 192.168.15.130.458 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.843376 IP 192.168.15.130.3367 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.843428 IP 192.168.15.130.56737 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.843487 IP 192.168.15.130.35500 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.843544 IP 192.168.15.130.2035 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.843601 IP 192.168.15.130.4550 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.843657 IP 192.168.15.130.2382 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.843713 IP 192.168.15.130.1132 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.843769 IP 192.168.15.130.10215 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.843826 IP 192.168.15.130.52869 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.843883 IP 192.168.15.130.31337 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.843939 IP 192.168.15.130.1071 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.844003 IP 192.168.15.130.1971 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.844059 IP 192.168.15.130.1114 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.844111 IP 192.168.15.130.1037 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.844204 IP 192.168.15.130.9485 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.844316 IP 192.168.15.129.64613 > 192.168.15.130.9010: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.844325 IP 192.168.15.129.64613 > 192.168.15.130.14238: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.844963 IP 192.168.15.129.64613 > 192.168.15.130.8994: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.844980 IP 192.168.15.129.64613 > 192.168.15.130.1998: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.845040 IP 192.168.15.129.64613 > 192.168.15.130.23502: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.845050 IP 192.168.15.129.64613 > 192.168.15.130.8180: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.845103 IP 192.168.15.129.64613 > 192.168.15.130.5004: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.845113 IP 192.168.15.129.64613 > 192.168.15.130.1864: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.845202 IP 192.168.15.129.64613 > 192.168.15.130.1105: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.845293 IP 192.168.15.129.64613 > 192.168.15.130.63331: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.845356 IP 192.168.15.129.64613 > 192.168.15.130.rootd: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.845366 IP 192.168.15.129.64613 > 192.168.15.130.6543: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.845421 IP 192.168.15.129.64613 > 192.168.15.130.1461: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.845511 IP 192.168.15.129.64613 > 192.168.15.130.msnp: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.845568 IP 192.168.15.129.64613 > 192.168.15.130.3013: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.845578 IP 192.168.15.129.64613 > 192.168.15.130.1000: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.845632 IP 192.168.15.129.64613 > 192.168.15.130.5989: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.845686 IP 192.168.15.130.4045 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.845772 IP 192.168.15.129.64613 > 192.168.15.130.545: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.845834 IP 192.168.15.129.64613 > 192.168.15.130.18101: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.845844 IP 192.168.15.129.64613 > 192.168.15.130.11111: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.845904 IP 192.168.15.129.64613 > 192.168.15.130.1862: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.845914 IP 192.168.15.129.64613 > 192.168.15.130.5877: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.845972 IP 192.168.15.129.64613 > 192.168.15.130.radius: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.846050 IP 192.168.15.129.64613 > 192.168.15.130.8222: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.846108 IP 192.168.15.129.64613 > 192.168.15.130.ftps: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.846152 IP 192.168.15.130.4002 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.846284 IP 192.168.15.129.64613 > 192.168.15.130.1805: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.846346 IP 192.168.15.129.64613 > 192.168.15.130.1102: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.846427 IP 192.168.15.129.64613 > 192.168.15.130.5510: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.846488 IP 192.168.15.129.64613 > 192.168.15.130.telnets: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.846498 IP 192.168.15.129.64613 > 192.168.15.130.8022: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.846553 IP 192.168.15.129.64613 > 192.168.15.130.7778: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.846641 IP 192.168.15.129.64613 > 192.168.15.130.10628: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.846701 IP 192.168.15.129.64613 > 192.168.15.130.9618: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.846751 IP 192.168.15.130.2179 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.846849 IP 192.168.15.129.64613 > 192.168.15.130.9503: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.846910 IP 192.168.15.129.64613 > 192.168.15.130.aol: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.846920 IP 192.168.15.129.64613 > 192.168.15.130.6580: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.846990 IP 192.168.15.129.64613 > 192.168.15.130.3878: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.846999 IP 192.168.15.129.64613 > 192.168.15.130.ms-sql-s: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.847060 IP 192.168.15.129.64613 > 192.168.15.130.15003: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.847119 IP 192.168.15.130.5298 > 192.168.15.129.64613: Flags [R.], seq 0, ack 425237051, win 0, length 0
13:57:24.847392 IP 192.168.15.129.64613 > 192.168.15.130.2006: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.847468 IP 192.168.15.129.64613 > 192.168.15.130.3390: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.847479 IP 192.168.15.129.64613 > 192.168.15.130.5679: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:57:24.847549 IP 192.168.15.129.64613 > 192.168.15.130.20828: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
