17:07:52.589779 ARP, Request who-has 192.168.15.130 (Broadcast) tell 192.168.15.129, length 46
17:07:52.590913 ARP, Reply 192.168.15.130 is-at 00:0c:29:66:2d:38 (oui Unknown), length 46
17:07:52.791662 IP 192.168.15.129.36294 > 192.168.15.2.domain: 6776+ PTR? 130.15.168.192.in-addr.arpa. (45)
17:07:52.804941 IP 192.168.15.2.domain > 192.168.15.129.36294: 6776 NXDomain 0/0/0 (45)
17:07:52.806720 IP 192.168.15.129.36884 > 192.168.15.130.loc-srv: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.523682 IP 192.168.15.129.36884 > 192.168.15.130.ftp-data: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.523742 IP 192.168.15.129.36884 > 192.168.15.130.90: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.523800 IP 192.168.15.129.36884 > 192.168.15.130.6669: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.523856 IP 192.168.15.129.36884 > 192.168.15.130.19842: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.524025 IP 192.168.15.130.7512 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.524087 IP 192.168.15.130.9575 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.524140 IP 192.168.15.130.zope-ftp > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.524197 IP 192.168.15.130.3827 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.524255 IP 192.168.15.130.10012 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.524309 IP 192.168.15.130.6112 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.524361 IP 192.168.15.130.2366 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.524416 IP 192.168.15.130.903 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.524471 IP 192.168.15.130.50300 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.524522 IP 192.168.15.130.1126 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.524578 IP 192.168.15.130.1533 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.524633 IP 192.168.15.130.1935 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.524685 IP 192.168.15.130.3404 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.524736 IP 192.168.15.130.5730 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.524792 IP 192.168.15.130.711 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.524850 IP 192.168.15.130.1027 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.524942 IP 192.168.15.130.7938 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.524998 IP 192.168.15.130.5226 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.525054 IP 192.168.15.130.1071 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.525106 IP 192.168.15.130.4126 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.525162 IP 192.168.15.130.17877 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.525214 IP 192.168.15.130.pop2 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.525268 IP 192.168.15.130.1068 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.525325 IP 192.168.15.130.enbd-cstatd > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.525379 IP 192.168.15.130.1096 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.525436 IP 192.168.15.130.7200 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.525557 IP 192.168.15.130.ftp-data > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.525778 IP 192.168.15.130.90 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.525868 IP 192.168.15.130.6669 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.526359 IP 192.168.15.130.19842 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.526472 IP 192.168.15.129.36884 > 192.168.15.130.3871: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.526553 IP 192.168.15.129.36884 > 192.168.15.130.3851: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.526607 IP 192.168.15.129.36884 > 192.168.15.130.3168: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.526666 IP 192.168.15.129.36884 > 192.168.15.130.2001: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.526719 IP 192.168.15.129.36884 > 192.168.15.130.1152: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.526777 IP 192.168.15.129.36884 > 192.168.15.130.55055: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.527031 IP 192.168.15.130.3871 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.527160 IP 192.168.15.130.3851 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.527245 IP 192.168.15.129.36884 > 192.168.15.130.1145: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.527311 IP 192.168.15.129.36884 > 192.168.15.130.4662: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.527405 IP 192.168.15.130.3168 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.527465 IP 192.168.15.130.2001 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.527890 IP 192.168.15.130.1152 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.528017 IP 192.168.15.130.55055 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.528089 IP 192.168.15.130.1145 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.528197 IP 192.168.15.129.36884 > 192.168.15.130.2190: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.528257 IP 192.168.15.129.36884 > 192.168.15.130.8082: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.528310 IP 192.168.15.129.36884 > 192.168.15.130.gnutella-svc: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.528367 IP 192.168.15.129.36884 > 192.168.15.130.1165: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.528461 IP 192.168.15.130.4662 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.528589 IP 192.168.15.129.36884 > 192.168.15.130.2099: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.528798 IP 192.168.15.130.2190 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.529017 IP 192.168.15.130.8082 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.529159 IP 192.168.15.130.gnutella-svc > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.529307 IP 192.168.15.130.1165 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.529475 IP 192.168.15.129.36884 > 192.168.15.130.1658: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.529593 IP 192.168.15.129.36884 > 192.168.15.130.7625: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.529671 IP 192.168.15.129.36884 > 192.168.15.130.49165: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.529730 IP 192.168.15.129.36884 > 192.168.15.130.2967: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.529783 IP 192.168.15.129.36884 > 192.168.15.130.3077: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.529841 IP 192.168.15.129.36884 > 192.168.15.130.2557: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.529893 IP 192.168.15.129.36884 > 192.168.15.130.1039: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.529962 IP 192.168.15.129.36884 > 192.168.15.130.32773: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.530015 IP 192.168.15.129.36884 > 192.168.15.130.49159: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.530122 IP 192.168.15.130.2099 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.530213 IP 192.168.15.129.36884 > 192.168.15.130.65129: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.530304 IP 192.168.15.129.36884 > 192.168.15.130.3918: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.530400 IP 192.168.15.130.1658 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.530605 IP 192.168.15.129.36884 > 192.168.15.130.1042: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.530699 IP 192.168.15.129.36884 > 192.168.15.130.5633: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.530754 IP 192.168.15.129.36884 > 192.168.15.130.5087: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.530842 IP 192.168.15.130.7625 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.530963 IP 192.168.15.129.36884 > 192.168.15.130.3300: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.531022 IP 192.168.15.129.36884 > 192.168.15.130.9000: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.531333 IP 192.168.15.129.36884 > 192.168.15.130.2968: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.531421 IP 192.168.15.129.36884 > 192.168.15.130.1051: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.531642 IP 192.168.15.129.36884 > 192.168.15.130.tcpmux: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.531777 IP 192.168.15.130.49165 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.531855 IP 192.168.15.129.36884 > 192.168.15.130.2998: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.531960 IP 192.168.15.129.36884 > 192.168.15.130.search: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.532175 IP 192.168.15.129.36884 > 192.168.15.130.exec: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.532313 IP 192.168.15.130.2967 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.532384 IP 192.168.15.129.36884 > 192.168.15.130.8001: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.532472 IP 192.168.15.129.36884 > 192.168.15.130.2383: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.532530 IP 192.168.15.129.36884 > 192.168.15.130.981: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.532621 IP 192.168.15.130.3077 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.532716 IP 192.168.15.129.36884 > 192.168.15.130.8010: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.532843 IP 192.168.15.129.36884 > 192.168.15.130.1011: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.532996 IP 192.168.15.129.36884 > 192.168.15.130.50002: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.533118 IP 192.168.15.130.2557 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.533209 IP 192.168.15.129.36884 > 192.168.15.130.264: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.533275 IP 192.168.15.129.36884 > 192.168.15.130.rootd: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.533329 IP 192.168.15.129.36884 > 192.168.15.130.49156: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.533386 IP 192.168.15.129.36884 > 192.168.15.130.1999: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.533502 IP 192.168.15.129.36884 > 192.168.15.130.8500: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.533616 IP 192.168.15.129.36884 > 192.168.15.130.6788: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.533674 IP 192.168.15.129.36884 > 192.168.15.130.8000: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.533789 IP 192.168.15.129.36884 > 192.168.15.130.2042: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.533983 IP 192.168.15.129.36884 > 192.168.15.130.5221: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.534104 IP 192.168.15.130.1039 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.534339 IP 192.168.15.130.32773 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.534703 IP 192.168.15.130.49159 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.534819 IP 192.168.15.130.65129 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.534976 IP 192.168.15.130.3918 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.535362 IP 192.168.15.130.1042 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.535476 IP 192.168.15.130.5633 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.535536 IP 192.168.15.130.5087 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.535919 IP 192.168.15.130.3300 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.536074 IP 192.168.15.130.9000 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.536203 IP 192.168.15.130.2968 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.536402 IP 192.168.15.129.36884 > 192.168.15.130.5544: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.536415 IP 192.168.15.129.36884 > 192.168.15.130.urd: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.536514 IP 192.168.15.129.36884 > 192.168.15.130.1801: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.536523 IP 192.168.15.129.36884 > 192.168.15.130.1108: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.536583 IP 192.168.15.129.36884 > 192.168.15.130.26: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.536601 IP 192.168.15.129.36884 > 192.168.15.130.3580: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.536705 IP 192.168.15.130.1051 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.536794 IP 192.168.15.129.36884 > 192.168.15.130.524: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.536803 IP 192.168.15.129.36884 > 192.168.15.130.login: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.536864 IP 192.168.15.129.36884 > 192.168.15.130.4567: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.536874 IP 192.168.15.129.36884 > 192.168.15.130.20222: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.536972 IP 192.168.15.129.36884 > 192.168.15.130.34571: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.536983 IP 192.168.15.129.36884 > 192.168.15.130.1501: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.537118 IP 192.168.15.129.36884 > 192.168.15.130.3371: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.537132 IP 192.168.15.129.36884 > 192.168.15.130.10566: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.537190 IP 192.168.15.129.36884 > 192.168.15.130.5679: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.537199 IP 192.168.15.129.36884 > 192.168.15.130.3323: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.537304 IP 192.168.15.130.tcpmux > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.537391 IP 192.168.15.129.36884 > 192.168.15.130.7435: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.537400 IP 192.168.15.129.36884 > 192.168.15.130.xtell: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.537474 IP 192.168.15.129.36884 > 192.168.15.130.31337: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.537483 IP 192.168.15.129.36884 > 192.168.15.130.1216: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.537608 IP 192.168.15.129.36884 > 192.168.15.130.6666: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.537617 IP 192.168.15.129.36884 > 192.168.15.130.25734: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.537686 IP 192.168.15.129.36884 > 192.168.15.130.1218: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.537696 IP 192.168.15.129.36884 > 192.168.15.130.nfs: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.537810 IP 192.168.15.129.36884 > 192.168.15.130.5825: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.537819 IP 192.168.15.129.36884 > 192.168.15.130.2103: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.537875 IP 192.168.15.129.36884 > 192.168.15.130.2909: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.537884 IP 192.168.15.129.36884 > 192.168.15.130.9535: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.537998 IP 192.168.15.130.2998 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.538088 IP 192.168.15.129.36884 > 192.168.15.130.1328: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.538098 IP 192.168.15.129.36884 > 192.168.15.130.2710: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.538155 IP 192.168.15.129.36884 > 192.168.15.130.82: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.538164 IP 192.168.15.129.36884 > 192.168.15.130.1104: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.538468 IP 192.168.15.129.36884 > 192.168.15.130.801: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.538482 IP 192.168.15.129.36884 > 192.168.15.130.7201: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.538575 IP 192.168.15.129.36884 > 192.168.15.130.888: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.538584 IP 192.168.15.129.36884 > 192.168.15.130.5718: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.538645 IP 192.168.15.129.36884 > 192.168.15.130.3369: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.538654 IP 192.168.15.129.36884 > 192.168.15.130.bgpd: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.538720 IP 192.168.15.129.36884 > 192.168.15.130.1503: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.538729 IP 192.168.15.129.36884 > 192.168.15.130.3325: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.538784 IP 192.168.15.129.36884 > 192.168.15.130.2046: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.538794 IP 192.168.15.129.36884 > 192.168.15.130.20031: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.538925 IP 192.168.15.129.36884 > 192.168.15.130.44176: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.538969 IP 192.168.15.129.36884 > 192.168.15.130.57294: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.539081 IP 192.168.15.130.search > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.539178 IP 192.168.15.129.36884 > 192.168.15.130.cvspserver: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.539188 IP 192.168.15.129.36884 > 192.168.15.130.6543: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.539245 IP 192.168.15.129.36884 > 192.168.15.130.2725: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.539309 IP 192.168.15.129.36884 > 192.168.15.130.5678: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.539676 IP 192.168.15.130.exec > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.539776 IP 192.168.15.129.36884 > 192.168.15.130.987: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.539787 IP 192.168.15.129.36884 > 192.168.15.130.2500: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.540207 IP 192.168.15.130.8001 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.540322 IP 192.168.15.130.2383 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.540441 IP 192.168.15.130.981 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.540850 IP 192.168.15.130.8010 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.540998 IP 192.168.15.130.1011 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.541060 IP 192.168.15.130.50002 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.541474 IP 192.168.15.130.264 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.541590 IP 192.168.15.130.rootd > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.541648 IP 192.168.15.130.49156 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.541912 IP 192.168.15.130.1999 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.542036 IP 192.168.15.129.36884 > 192.168.15.130.27715: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.542047 IP 192.168.15.129.36884 > 192.168.15.130.1007: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.542136 IP 192.168.15.130.8500 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.542337 IP 192.168.15.129.36884 > 192.168.15.130.20005: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.542352 IP 192.168.15.129.36884 > 192.168.15.130.2038: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.542414 IP 192.168.15.129.36884 > 192.168.15.130.3052: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.542424 IP 192.168.15.129.36884 > 192.168.15.130.omirr: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.542480 IP 192.168.15.129.36884 > 192.168.15.130.xmpp-client: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.542489 IP 192.168.15.129.36884 > 192.168.15.130.32779: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.542543 IP 192.168.15.129.36884 > 192.168.15.130.1112: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.542553 IP 192.168.15.129.36884 > 192.168.15.130.chargen: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.542679 IP 192.168.15.129.36884 > 192.168.15.130.1121: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.542688 IP 192.168.15.129.36884 > 192.168.15.130.1186: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.542808 IP 192.168.15.129.36884 > 192.168.15.130.bacula-fd: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.542817 IP 192.168.15.129.36884 > 192.168.15.130.35500: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.542931 IP 192.168.15.130.6788 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.543111 IP 192.168.15.129.36884 > 192.168.15.130.x11: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.543125 IP 192.168.15.129.36884 > 192.168.15.130.646: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.543186 IP 192.168.15.129.36884 > 192.168.15.130.1175: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.543196 IP 192.168.15.129.36884 > 192.168.15.130.340: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.543267 IP 192.168.15.129.36884 > 192.168.15.130.902: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.543277 IP 192.168.15.129.36884 > 192.168.15.130.16016: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.543331 IP 192.168.15.129.36884 > 192.168.15.130.1311: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.543341 IP 192.168.15.129.36884 > 192.168.15.130.33: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.543404 IP 192.168.15.129.36884 > 192.168.15.130.8022: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.543414 IP 192.168.15.129.36884 > 192.168.15.130.5922: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.543469 IP 192.168.15.129.36884 > 192.168.15.130.5440: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.543478 IP 192.168.15.129.36884 > 192.168.15.130.306: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
